caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,P3,P4,P7_5_4,P8_6,P9,P10,P11,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2,P5,P6,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8,P12,P15,P16,P17,P23,P26,P27,P28,P29,P30
134.0,No,Sí,60.0,56 a 65 años,NSE B2,B2,Femenino,San Miguel,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que no dañe la piel,Que tenga un empaque práctico,Que sea fácil de encontrar en distintos establecimientos,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que el producto me genere confianza,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Que esté en promoción/oferta,Casa Grande,10: Definitivamente lo recomendaría,,,9,,,,,,,,,,8,Alkofarma,Alkofarma,Ninguno [NN,Alkofarma,Boreal,Portugal,Otras marcas,Portugal,Otras marcas,,,Alkofarma,Portugal,,,Alkofarma,Boreal,Portugal,,Alkofarma,Portugal,,,,Alkofarma,Portugal,Otras marcas,,Portugal,,,,,,No precisa,,,,Alkofarma,Portugal,Otras marcas,,Alkofarma,Portugal,Otras marcas,,Portugal,,,,,,Alkofarma,Portugal,,,Sí,Bicarbonato de sodio,Agua azahar,Alcohol medicinal 70%,Alcohol puro 96°,Vinagre Bully (Aromático),,,,Alcohol medicinal 70°,Alcohol puro 96°,,,,,,,,,No precisa,No precisa,,,,,,,,,,,0.0,0.0,,,,,,,,Menos de un dedo,2,,,,,148,1.0,0.84784707,1.05555556,"Spray,Botella,Con pulverizador",Spray,,"Desinfección de manos,Desinfección de objetos y superficies","Desinfectar las compras,Para limpieza del hogar",,,"Desinfección de manos,Desinfección de objetos y superficies,Desinfección de ropa,Desinfección del cuerpo / personas que entran a la casa","Botica/Farmacia de cadena,Mercado",Porque es puro,"Casa Grande,Alkofarma,Boreal,Portugal,Purol","Alkofarma,Casa Grande,Boreal,Portugal,Purol","Alkofarma,Casa Grande",,Alcohol,"Bicarbonato de sodio,Agua azahar,Alcohol medicinal 70%,Alcohol puro 96°,Vinagre Bully (Aromático)",Alcohol puro 96°,"2. Una vez a la semana,Una vez al mes,Una vez al mes,Una vez cada 6 meses,Una vez al mes","2. Una vez a la semana,Una vez cada 15 días,Una vez cada 15 días,2. Una vez a la semana,Una vez al mes"
135.0,No,Sí,50.0,46 a 55 años,NSE C1,C1,Masculino,Comas,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que el producto sea de calidad,Que esté en promoción/oferta,Que tenga un precio accesible,Que tenga un empaque práctico,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga trayectoria,Que se venda en puntos de venta de confianza,Que la marca sea prestigiosa,Duofarma,,,,,,,,,,,,7,,8,Hersil,Hersil,Ninguno [NN,Otras marcas,,,,Ninguno,,,,Cualquiera,,,,Otras marcas,,,,Otras marcas,,,,,Otras marcas,,,,Otras marcas,,,,,,Ninguno,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,,,Otras marcas,,,,No,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,,,,,,Alcohol puro 96°,Alcohol en gel,,,,,,,,,,No precisa,,,Avant Garde,,,,,,,,,0.0,,0.0,,,,,,,2,,1,,,149,1.0,1.09246215,1.03703704,"Botella,Con chupón",Con chupón,,,Desinfección de manos,Desinfección de manos,,,Botica/Farmacia de mi barrio,Porque es económico,Ninguna,"Casa Grande,Hersil,Duofarma","Hersil,Duofarma",,,"Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Una vez cada 6 meses,Una vez cada 6 meses,Nunca","Una vez al mes,Una vez al mes,2. Una vez a la semana"
136.0,No,Sí,29.0,25 a 35 años,NSE D,D,Femenino,Villa el Salvador,Su casa,Sí,,,Vendedor independiente amigo/conocido,Vendedor independiente amigo/conocido,4. Satisfecho,Que tenga un precio accesible,Que no dañe la piel,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que el producto me genere confianza,Que la marca sea prestigiosa,Que tenga un empaque práctico,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Productos Leo,,,,7,,,6,,,,,,,9,Casa Grande,Productos Leo,Ninguno [NN,Boreal,Otras marcas,,,Boreal,Portugal,,,Boreal,,,,Boreal,Otras marcas,,,Otras marcas,,,,,Otras marcas,,,,Boreal,Otras marcas,,,,,Boreal,Otras marcas,,,Otras marcas,,,,Boreal,Otras marcas,,,Boreal,,,,,,Boreal,,,,No,Alcohol puro 96°,,,,,,,,Alcohol puro 96°,,,,,,,,,,,Casa Grande,,,,,,,,,,,,900.0,,,,,,,,,1,,,,,150,1.0,0.77236257,0.85,"Spray,Botella",Spray,,Desinfección de manos,Desinfección de objetos y superficies,,,,Vendedor independiente amigo/conocido,"Porque es económico,Porque me da confianza","Productos Leo,Casa Grande,Boreal","Casa Grande,Boreal,Portugal,Productos Leo","Casa Grande,Boreal,Productos Leo",,,Alcohol puro 96°,Alcohol puro 96°,Una vez cada 2 o 3 meses,Una vez al mes
137.0,No,Sí,43.0,36 a 45 años,NSE B1,B1,Femenino,San Juan de Miraflores,Su casa,Sí,,,Bodega,Bodega,5. Muy satisfecho,Que el producto sea de calidad,Que la marca sea prestigiosa,Que no dañe la piel,Que el producto me genere confianza,Que tenga un empaque práctico,Que tenga un precio accesible,Que sea la que siempre compran en mi casa,Que tenga trayectoria,Casa Grande,,,,10: Definitivamente lo recomendaría,,,7,,,,,,,,Boreal,Casa Grande,Ninguno [NN,Boreal,Otras marcas,,,Boreal,Otras marcas,,,Boreal,Otras marcas,,,Otras marcas,,,,No precisa,,,,,Boreal,Otras marcas,,,No precisa,,,,,,Otras marcas,,,,Otras marcas,,,,Boreal,Otras marcas,,,Otras marcas,,,,,,Otras marcas,,,,No,Bicarbonato de sodio,Alcohol puro 96°,Vinagre Bully (Aromático),,,,,,Bicarbonato de sodio,Alcohol puro 96°,Vinagre Bully (Aromático),,,,Erza,,,,,Casa Grande,,,,,,Fabrimedic,,100.0,,,,900.0,,,120.0,,1,,,,3,,,1,,151,1.0,1.99097395,1.4,"Spray,Botella",Spray,,"Desinfección de manos,Curar heridas",Desinfección de objetos y superficies,,,,"Botica/Farmacia de cadena,Bodega,Mercado","Porque desinfecta (mata gérmenes y bacterias),Porque es de una marca reconocida,Porque es fácil de encontrar","Casa Grande,Boreal","Casa Grande,Boreal","Casa Grande,Boreal",,,"Bicarbonato de sodio,Alcohol puro 96°,Vinagre Bully (Aromático)",Alcohol puro 96°,"2 o 3 veces por semana,2. Una vez a la semana,Una vez al mes,Una vez al mes","2 o 3 veces por semana,2 o 3 veces por semana,2 o 3 veces por semana,2. Una vez a la semana"
138.0,No,Sí,21.0,18 a 24 años,NSE B2,B2,Femenino,Santa Anita,Su casa,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que sea fácil de encontrar en distintos establecimientos,Que no dañe la piel,Que tenga todas las certificaciones de calidad,Que tenga un precio accesible,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga trayectoria,Que la marca sea prestigiosa,Boreal,7,,,,,,7,7,,,,,,,Alkofarma,Boreal,Ninguno [NN,Alkofarma,Boreal,Portugal,,Alkofarma,Boreal,Portugal,,Boreal,,,,Cualquiera,,,,Cualquiera,,,,,Alkofarma,Boreal,Portugal,,Boreal,,,,,,Ninguno,,,,Boreal,,,,Alkofarma,Boreal,Portugal,,Portugal,,,,,,Portugal,,,,Sí,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,,,,,Agua oxigenada,Alcohol medicinal 70°,Alcohol puro 96°,Alcohol en gel,,,,,Erza,,Alkofarma,Alkofarma,,,Boreal,,,,,,,120.0,1000.0,250.0,,360.0,,,,,1,1,1,,1,,,152,1.0,0.81815058,0.71428571,"Spray,Botella",Spray,,"Desinfección de manos,Desinfección de objetos y superficies,Curar heridas,Desinfección del cuerpo / personas que entran a la casa","Curar heridas,Lo uso para llenar el spray o algún frasco",,,,"Botica/Farmacia de cadena,Bodega","Porque desinfecta la piel,Porque demora en evaporarse,Porque la presentación es la adecuada","Boreal,Alkofarma,Portugal","Alkofarma,Boreal,Portugal","Alkofarma,Boreal,Portugal",,Alcohol,"Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Alcohol medicinal 70%,Alcohol puro 96°","Una vez cada 6 meses,Una vez cada 2 o 3 meses,Una vez cada 6 meses,Una vez al mes","Una vez cada 2 o 3 meses,Una vez al mes,Una vez al mes,Una vez al mes"
139.0,No,Sí,21.0,18 a 24 años,NSE B1,B1,Femenino,San Miguel,Su casa,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que no dañe la piel,Que tenga un precio accesible,Que tenga un empaque práctico,Que tenga todas las certificaciones de calidad,Que sea fácil de encontrar en distintos establecimientos,Que se venda en puntos de venta de confianza,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Mifarma,9,,,,,,,6,,,,,,10: Definitivamente lo recomendaría,Alkofarma,Mifarma,Hersil,Alkofarma,Boreal,,,Alkofarma,Portugal,,,Alkofarma,Boreal,,,Portugal,,,,Boreal,,,,,Alkofarma,Boreal,Portugal,,Alkofarma,Portugal,,,,,Alkofarma,,,,Alkofarma,Portugal,,,Alkofarma,Boreal,Portugal,,Alkofarma,Portugal,,,,,Alkofarma,Portugal,,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Vinagre Bully (Aromático),,,,Bicarbonato de sodio,Alcohol puro 96°,Vinagre Bully (Aromático),,,,Aky,,,,,Mifarma,,,,,,Del Firme,,0.0,,,,0.0,,,0.0,,La mitad del frasco,,,,Un dedo de la botella,,,Botella entera,,154,1.0,0.84784707,1.05555556,"Dispensador,Spray,Botella,Con pulverizador",Botella,Desinfección del cuerpo / personas que entran a la casa,"Desinfección de manos,Desinfectar monedas en la calle","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas",,,"Desinfección de manos,Desinfección de objetos y superficies,Curar heridas,Desinfección de ropa","Botica/Farmacia de cadena,Supermercado",Porque tiene buen aroma / se siente el alcohol,"Aval,Mifarma","Alkofarma,Boreal,Portugal,Hersil,Mifarma,Aval","Alkofarma,Portugal,Mifarma",Porque no tenia buen aroma/su olor no es intenso,"Alcohol,Agua oxigenada","Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Vinagre Bully (Aromático)",Alcohol puro 96°,"Una vez al mes,Una vez cada 6 meses,Una vez cada 6 meses,Una vez cada 6 meses,Una vez al mes","Una vez al mes,Una vez al mes,2. Una vez a la semana,2. Una vez a la semana,Una vez al mes"
140.0,No,Sí,39.0,36 a 45 años,NSE B2,B2,Femenino,San Juan de Lurigancho,Su casa,Sí,,,Farmacias dentro de supermercados,Farmacias dentro de supermercados,4. Satisfecho,Que sea fácil de encontrar en distintos establecimientos,Que tenga un precio accesible,Que no dañe la piel,Que el producto sea de calidad,Que tenga trayectoria,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que esté en promoción/oferta,Que la marca sea prestigiosa,Purol,,,,,,,,,,8,,,,,Hersil,Ninguno,Ninguno [NN,Portugal,,,,Boreal,,,,Otras marcas,,,,Boreal,,,,Otras marcas,,,,,Otras marcas,,,,Boreal,,,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,,,Otras marcas,,,,No,Alcohol medicinal 70%,Alcohol en gel,,,,,,,Alcohol medicinal 70°,Alcohol en gel,,,,,,,,,Purol,,,,Aval,,,,,,,,1000.0,,,380.0,,,,,,2,,,2,,,155,1.0,0.81815058,0.71428571,Botella,"Dispensador,Spray,Con pulverizador","Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",,Desinfección de objetos y superficies,,"Botica/Farmacia de mi barrio,Farmacias dentro de supermercados","Porque desinfecta (mata gérmenes y bacterias),Porque puedo desinfectar superficies",Aval,"Portugal,Purol,Hersil,Aval",Purol,,,"Alcohol medicinal 70%,Alcohol en gel","Alcohol medicinal 70%,Alcohol en gel","Una vez cada 6 meses,Una vez al mes","Una vez al mes,Una vez cada 15 días"
141.0,No,Sí,53.0,46 a 55 años,NSE C1,C1,Femenino,San Martín de Porres,Su casa,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que tenga todas las certificaciones de calidad,Que la marca sea prestigiosa,Que no dañe la piel,Que tenga un precio accesible,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga un empaque práctico,Que sea la que siempre compran en mi casa,Mifarma,7,,,8,,,8,,,,,8,,9,Casa Grande,Mifarma,Ninguno [NN,Alkofarma,Erza,Boreal,Cualquiera,Alkofarma,Boreal,,,Alkofarma,Boreal,,,Alkofarma,Boreal,,,Boreal,,,,,Boreal,,,,Boreal,Portugal,,,,,Ninguno,,,,Alkofarma,Boreal,,,Alkofarma,Erza,Boreal,Portugal,Alkofarma,Erza,Boreal,Portugal,,,Alkofarma,Portugal,,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,,,,Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70°,Alcohol puro 96°,Alcohol en gel,,Alkofarma,,Alkofarma,,Alkofarma,Mifarma,,,Cell Skin,Handsanitizer,,,,0.0,,0.0,0.0,0.0,,0.0,,,1,,1,1,1,,3,,,156,1.0,1.09246215,1.03703704,"Dispensador,Spray,Botella","Dispensador,Spray",Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Curar heridas",,,,Botica/Farmacia de cadena,Porque es de una marca reconocida,"Inkafarma,Casa Grande,Mifarma","Alkofarma,Erza,Casa Grande,Boreal,Portugal,Purol,Hersil,Mifarma,Inkafarma","Alkofarma,Casa Grande,Boreal,Hersil,Mifarma",,"Agua oxigenada,Alcohol","Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Bicarbonato de sodio,Alcohol medicinal 70%,Alcohol en gel","2. Una vez a la semana,Una vez al mes,Una vez cada 15 días,Una vez cada 15 días,Una vez cada 15 días","2 o 3 veces por semana,Una vez al mes,2. Una vez a la semana,Una vez al mes,2. Una vez a la semana"
142.0,No,Sí,48.0,46 a 55 años,NSE A1,A1,Masculino,San Borja,Trabajador dependiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que la marca sea prestigiosa,Que no dañe la piel,Que el producto me genere confianza,Que tenga todas las certificaciones de calidad,Que esté en promoción/oferta,Que tenga un precio accesible,Que tenga un empaque práctico,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Casa Grande,,,,10: Definitivamente lo recomendaría,,,9,,,,,,6,,Boreal,Casa Grande,Ninguno [NN,Alkofarma,Erza,CKF,Portugal,Boreal,Otras marcas,,,Boreal,Otras marcas,,,Otras marcas,,,,Boreal,Otras marcas,,,,Otras marcas,,,,Alkofarma,Boreal,,,,,Otras marcas,,,,Otras marcas,,,,Boreal,,,,Boreal,,,,,,Alkofarma,Boreal,Otras marcas,,Sí,Alcohol puro 96°,Alcohol en gel,,,,,,,Alcohol puro 96°,Alcohol en gel,,,,,,,,,,Casa Grande,,,Alessi,,,,,,,,,900.0,,500.0,,,,,,,2,,1,,,157,1.0,0.71410697,0.86666667,"Dispensador,Spray,Botella",Spray,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Curar heridas",,,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,Farmacias dentro de supermercados,Supermercado,Vendedor independiente amigo/conocido","Porque es puro,Porque me da confianza","Casa Grande,Alkofarma,Boreal","Alkofarma,Casa Grande,Coderal,Boreal,Purol,Alessi","Casa Grande,Boreal,Alessi",,Alcohol,"Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses","2. Una vez a la semana,Una vez cada 15 días"
143.0,No,Sí,41.0,36 a 45 años,NSE C1,C1,Femenino,Los Olivos,Su casa,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,5. Muy satisfecho,Que tenga un precio accesible,Que el producto sea de calidad,Que no dañe la piel,Que el producto me genere confianza,Que esté en promoción/oferta,Que sea fácil de encontrar en distintos establecimientos,Que sea la que siempre compran en mi casa,Que la marca sea prestigiosa,Casa Grande,,,,10: Definitivamente lo recomendaría,,,,,,,,,,,Boreal,Casa Grande,Ninguno [NN,Boreal,,,,Alkofarma,,,,Alkofarma,Boreal,,,Boreal,,,,Boreal,,,,,Boreal,,,,Boreal,,,,,,Ninguno,,,,Alkofarma,Boreal,Portugal,,Alkofarma,Boreal,,,Alkofarma,Boreal,,,,,Boreal,,,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,,,,,,Alcohol puro 96°,Alcohol en gel,,,,,,,,,,Casa Grande,,,Lion Clean,,,,,,,,,900.0,,0.0,,,,,,,1,,1,,,158,1.0,1.09246215,1.03703704,"Dispensador,Spray,Con chupón",Spray,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies,Desinfección de ropa",,"Desinfección de manos,Para limpieza del hogar",,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,Vendedor independiente amigo/conocido,Mercado","Porque es económico,Porque es de calidad","Casa Grande,Boreal","Alkofarma,Casa Grande,Boreal,Portugal",Casa Grande,,Alcohol,"Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°",Alcohol puro 96°,"Una vez al mes,Una vez cada 6 meses,Una vez cada 6 meses","Una vez al mes,Una vez al mes,2. Una vez a la semana"
144.0,No,Sí,35.0,25 a 35 años,NSE D,D,Femenino,San Juan de Lurigancho,Su casa,Sí,Desinfección del cuerpo / personas que entran a la casa,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,5. Muy satisfecho,Que la marca sea prestigiosa,Que sea fácil de encontrar en distintos establecimientos,Que tenga todas las certificaciones de calidad,Que se venda en puntos de venta de confianza,Que tenga un empaque práctico,Que esté en promoción/oferta,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Disproquin,,,,8,,,,,,,,,,10: Definitivamente lo recomendaría,Casa Grande,Calidfarma,Alessi,Boreal,Otras marcas,,,Boreal,Otras marcas,,,Alkofarma,Boreal,Portugal,,Alkofarma,Boreal,,,Boreal,,,,,Alkofarma,Portugal,,,Alkofarma,Boreal,Portugal,,,,Alkofarma,Portugal,,,Alkofarma,Portugal,,,Alkofarma,Portugal,,,Alkofarma,Boreal,Portugal,,,,Alkofarma,Boreal,Portugal,,Sí,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,,,,,,Alcohol puro 96°,,,,,,,,,,,No precisa,,,,,,,,,,,,0.0,,,,,,,,,1,,,,,159,1.0,0.94332407,0.95454545,"Spray,Botella,Con pulverizador",Botella,,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",,"Desinfección de manos,Desinfección de objetos y superficies,Desinfección de ropa",,"Botica/Farmacia de mi barrio,Vendedor independiente amigo/conocido",Porque es puro,Inkafarma,"Casa Grande,Boreal,Portugal,Inkafarma,Disproquin","Casa Grande,Disproquin",Es desconocido,Alcohol,"Agua oxigenada,Alcohol puro 96°,Alcohol en gel",Alcohol puro 96°,"Una vez al mes,Una vez al año","Una vez al año,Una vez cada 15 días,Una vez cada 2 o 3 meses"
145.0,No,Sí,48.0,46 a 55 años,NSE B1,B1,Femenino,Miraflores,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,3. Ni satisfecho ni insatisfecho,Que el producto sea de calidad,Que no dañe la piel,Que el producto me genere confianza,Que sea fácil de encontrar en distintos establecimientos,Que la marca sea prestigiosa,Que tenga trayectoria,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga un empaque práctico,Alkofarma,7,,,,,,,,,,,,,,Ninguno,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,No precisa,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,Alcohol yodado,Alcohol en gel,,,,Bicarbonato de sodio,Alcohol puro 96°,Alcohol yodado,Alcohol en gel,,,Portugal,,,,,Alkofarma,D Leos,,Corporación,,,,,100.0,,,,250.0,30.0,1000.0,,,1,,,,1,1,2,,,160,1.0,0.84784707,1.05555556,"Dispensador,Spray,Botella,Con pulverizador","Dispensador,Spray,Botella","Desinfección de objetos y superficies,Curar heridas","Desinfección de manos,Desinfección de objetos y superficies,Curar heridas,Desinfección de ropa","Desinfección de objetos y superficies,Curar heridas",,Desinfección de objetos y superficies,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,Farmacias dentro de supermercados","Porque el alcohol hace daño a la piel,El precio es elevado",Ninguna,"Alkofarma,Hersil",Alkofarma,,Alcohol,"Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,Alcohol yodado,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez cada 15 días,Con menor frecuencia,Con menor frecuencia,Una vez al mes,Una vez cada 2 o 3 meses","Una vez al mes,Con menor frecuencia,Una vez al mes,Una vez al mes,Una vez cada 15 días"
146.0,No,Sí,60.0,56 a 65 años,NSE A2,A2,Femenino,San Borja,Su casa,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que la marca sea prestigiosa,Que tenga un empaque práctico,Que el producto sea de calidad,Que no dañe la piel,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que se venda en puntos de venta de confianza,Que tenga un precio accesible,Casa Grande,,,,9,,,,6,7,,,6,,5,Hersil,Casa Grande,Alessi,Ninguno,,,,Portugal,Otras marcas,,,Portugal,Otras marcas,,,Otras marcas,,,,Portugal,Otras marcas,,,,Otras marcas,,,,Ninguno,,,,,,Boreal,Portugal,Otras marcas,,Portugal,Otras marcas,,,Otras marcas,,,,Boreal,Otras marcas,,,,,Portugal,,,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,,,,,,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,,,,Portugal,,Erza,,,No precisa,,,,,,,,100.0,,1000.0,,1000.0,,,,,1,,1,,1,,,,,161,1.0,0.71410697,0.86666667,"Dispensador,Spray,Botella","Dispensador,Spray",Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de objetos y superficies,Curar heridas",,,,"Botica/Farmacia de cadena,Bodega,Farmacias dentro de supermercados,Supermercado","Porque me protege contra el COVID,Porque es puro,Porque es de calidad","Casa Grande,Portugal,Sanakol","Casa Grande,Boreal,Portugal,Sanakol,Purol,Hersil,Farmagal","Casa Grande,Portugal,Sanakol,Hersil,Farmagal",Es desconocido,No precisa,"Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°","Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°","Una vez al mes,Una vez al mes,Una vez al mes","2. Una vez a la semana,Una vez al mes,2. Una vez a la semana"
147.0,No,Sí,41.0,36 a 45 años,NSE B2,B2,Femenino,San Miguel,Su casa,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que no dañe la piel,Que tenga un precio accesible,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que sea fácil de encontrar en distintos establecimientos,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Que la marca sea prestigiosa,Que tenga un empaque práctico,Alkofarma,9,,,,,,,9,,7,,6,6,,Portugal,Alkofarma,Alessi,Alkofarma,Jemfarma,Boreal,Portugal,Alkofarma,Boreal,Portugal,,Alkofarma,Jemfarma,Boreal,Portugal,Alkofarma,,,,Alkofarma,Jemfarma,Portugal,,,Alkofarma,Boreal,Portugal,,Boreal,Portugal,,,,,Boreal,Portugal,,,Alkofarma,,,,Alkofarma,Portugal,,,Alkofarma,Jemfarma,Boreal,Portugal,,,Alkofarma,Portugal,,,Sí,Alcohol medicinal 70%,Alcohol puro 96°,,,,,,,Alcohol medicinal 70°,Alcohol puro 96°,,,,,,,,,Alkofarma,Alkofarma,,,,,,,,,,,0.0,0.0,,,,,,,,1,1,,,,,162,1.0,0.84784707,1.05555556,"Spray,Botella,Con pulverizador",Botella,,"Desinfección de manos,Desinfectar monedas en la calle",Para limpieza del hogar,,,"Desinfección de manos,Desinfectar monedas en la calle","Botica/Farmacia de cadena,Supermercado","Porque me da confianza,Porque es de una marca reconocida","Alkofarma,Representaciones J y L","Alkofarma,Casa Grande,Boreal,Portugal,Sanakol,Purol,Hersil,Alessi,Representaciones J y L","Alkofarma,Portugal,Purol,Hersil,Alessi",Porque no parece de calidad,Alcohol,"Alcohol medicinal 70%,Alcohol puro 96°","Alcohol medicinal 70%,Alcohol puro 96°","Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses","Una vez cada 15 días,2 o 3 veces por semana"
